cbro_code,nvt,name_ptbr,name_english,status,list_type,category,order,suborder,infraorder,parvorder,superfamily,family,subfamily,genera,species,popular_2015,technical_2015,english_cbro_2015,species_code,name_sci,range,name_spanish,name_german,name_italian,name_french,name_czech,name_danish,name_dutch,name_estonian,name_finnish,name_hungarian,name_chinese,name_japanese,name_norwegian,name_polish,name_russian,name_slovak,name_swedish
CBRO#0004,Rhea americana,ema,Greater Rhea,BR,1 Primária,09 Espécie,Rheiformes,,,,,Rheidae,,Rhea,americana,ema,Rhea americana,Greater Rhea,grerhe1,Rhea americana,,Ñandú Común,Nandu,Nandù,Nandou d'Amérique,nandu pampový,Nandu,Nandoe,nandu,nandu,nandu,大美洲鸵,レア,Stornandu,nandu szare,Обыкновенный нанду,nandu pampový,Nandu
CBRO#0011,Tinamus tao,azulona,Gray Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,azulona,Tinamus tao,Gray Tinamou,grytin1,Tinamus tao,,Tinamú Tao,Tao,Tinamo grigio,Tinamou tao,tinama tao,Grå Tinamu,Grijze Tinamoe,halltinamu,harmaatinami,szürke tinamu,灰(共鸟),ハイイロシギダチョウ,Taotinamu,kusacz szary,Тао,tinama sivá,Grå tinamo
CBRO#0014,Tinamus solitarius,macuco,Solitary Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,solitarius,macuco,Tinamus solitarius,Solitary Tinamou,soltin1,Tinamus solitarius,E Brazil to se Paraguay and extreme ne Argentina (Misiones),Tinamú Macuco,Grausteißtinamu,Tinamo solitario,Tinamou solitaire,tinama samotářská,Olivengrå Tinamu,Kluizenaarstinamoe,eraktinamu,erakkotinami,remetetinamu,孤(共鸟),オバシギダチョウ,Eremittinamu,kusacz samotny,Тинаму-пустынник,tinama samotárska,Eremittinamo
CBRO#0015,Tinamus major,inhambu-serra,Great Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,major,inambu-serra,Tinamus major,Great Tinamou,gretin1,Tinamus major,,Tinamú Oliváceo,Großtinamu,Tinamo grosso,Grand Tinamou,tinama větší,Stor Tinamu,Grote Tinamoe,suurtinamu,isotinami,nagy tinamu,大(共鸟),オオシギダチョウ,Stortinamu,kusacz duży,Большой тинаму,tinama veľká,Större tinamo
CBRO#0020,Tinamus guttatus,inhambu-galinha,White-throated Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,guttatus,inambu-galinha,Tinamus guttatus,White-throated Tinamou,whttin1,Tinamus guttatus,SE Colombia and s Venezuela to n Bolivia and Amaz. Brazil,Tinamú Moteado,Weißkehltinamu,Tinamo golabianca,Tinamou à gorge blanche,tinama tečkovaná,Gråisset Tinamu,Witkeeltinamoe,helmestinamu,helmitinami,fehértorkú tinamu,白喉(共鸟),ノドジロシギダチョウ,Perletinamu,kusacz kropkowany,Белогорлый тинаму,tinama bielohrdlá,Vitstrupig tinamo
CBRO#0022,Crypturellus cinereus,inhambu-pixuna,Cinereous Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,cinereus,inambu-pixuna,Crypturellus cinereus,Cinereous Tinamou,cintin1,Crypturellus cinereus,SE Colombia to Guianas; s Venezuela; n Bolivia and ne Brazil,Tinamú Sombrío,Grautinamu,Tinamo cenerino,Tinamou cendré,tinama podrostní,Asketinamu,Grauwe Tinamoe,tõmmu-metstinamu,punapäätinami,,灰穴(共鸟),ムジシギダチョウ,Gråtinamu,kusacz popielaty,Серый криптуреллус,tinama popolavá,Askgrå tinamo
CBRO#0023,Crypturellus soui,tururim,Little Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,tururim,Crypturellus soui,Little Tinamou,littin1,Crypturellus soui,,Tinamú Chico,Brauntinamu,Tinamo piccolo,Tinamou soui,tinama malá,Lille Tinamu,Kleine Tinamoe,väike-metstinamu,pikkutinami,apró tinamu,小穴(共鸟),コシギダチョウ,Småtinamu,kusacz czarnogłowy,Коричневый криптуреллус,tinama malá,Mindre tinamo
CBRO#0027,Crypturellus obsoletus,inhambuguaçu,Brown Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,inambuguaçu,Crypturellus obsoletus,Brown Tinamou,brotin1,Crypturellus obsoletus,,Tinamú Café,Kastanientinamu,Tinamo bruno,Tinamou brun,tinama hnědá,Brun Tinamu,Bruine Tinamoe,pruun-metstinamu,ruskotinami,,褐穴(共鸟),チャイロシギダチョウ,Bruntinamu,kusacz kasztanowaty,Каштановый криптуреллус,tinama gaštanová,Brun tinamo
CBRO#0031,Crypturellus undulatus,jaó,Undulated Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,jaó,Crypturellus undulatus,Undulated Tinamou,undtin1,Crypturellus undulatus,,Tinamú Ondulado,Wellentinamu,Tinamo vermicolato,Tinamou vermiculé,tinama vlnkovaná,Bølgetinamu,Marmertinamoe,vile-metstinamu,huhuilijatinami,hullámos tinamu,波斑穴(共鸟),シロハラシギダチョウ,Amazontinamu,kusacz falisty,Полосатый криптуреллус,tinama vlnkovaná,Inambutinamo
CBRO#0037,Crypturellus strigulosus,inhambu-relógio,Brazilian Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,strigulosus,inambu-relógio,Crypturellus strigulosus,Brazilian Tinamou,bratin1,Crypturellus strigulosus,Tropical s Amazonian Brazil; adjacent e Peru and nw Bolivia,Tinamú Brasileño,Rotkehltinamu,Tinamo del Brasile,Tinamou oariana,tinama brazilská,Brasiliansk Tinamu,Braziliaanse Tinamoe,punakael-metstinamu,brasiliantinami,brazil tinamu,巴西穴(共鸟),ブラジルシギダチョウ,Brasiltinamu,kusacz rdzawoszyi,Красногорлый криптуреллус,tinama nížinná,Brasiliansk tinamo
