#,#CBRO,Categoria,Nome do táxon (com autoria),Nome do táxon (sem autoria),Autoria,Data,Totais,Ordem,Subordem,Infraordem,Parvordem,Superfamília,Família,Subfamília,Gênero,Espécie,Subespécie,Nome em Português,English Name,Status,Notas (português),Notes (English)
1,CBRO#0001,Ordem,"Rheiformes Forbes, 1884",Rheiformes,Forbes,1884,1,Rheiformes,,,,,,,,,,,,,,
2,CBRO#0002,Família,"Rheidae Bonaparte, 1849",Rheidae,Bonaparte,1849,1,Rheiformes,,,,,Rheidae,,,,,,,,,
3,CBRO#0003,Gênero,"Rhea Brisson, 1760",Rhea,Brisson,1760,1,Rheiformes,,,,,Rheidae,,Rhea,,,,,,,
4,CBRO#0004,Espécie,"Rhea americana (Linnaeus, 1758)",Rhea americana,Linnaeus,1758,3,Rheiformes,,,,,Rheidae,,Rhea,americana,,ema,Greater Rhea,BR,,
5,CBRO#0005,Subespécie,"Rhea americana americana (Linnaeus, 1758)",Rhea americana americana,Linnaeus,1758,,Rheiformes,,,,,Rheidae,,Rhea,americana,americana,,,,,
6,CBRO#0006,Subespécie,"Rhea americana intermedia Rothschild & Chubb, 1914",Rhea americana intermedia,Rothschild & Chubb,1914,,Rheiformes,,,,,Rheidae,,Rhea,americana,intermedia,,,,,
7,CBRO#0007,Subespécie,"Rhea americana araneipes Brodkorb, 1938",Rhea americana araneipes,Brodkorb,1938,,Rheiformes,,,,,Rheidae,,Rhea,americana,araneipes,,,,,
8,CBRO#0008,Ordem,"Tinamiformes Huxley, 1872",Tinamiformes,Huxley,1872,24,Tinamiformes,,,,,,,,,,,,,,
9,CBRO#0009,Família,"Tinamidae Gray, 1840",Tinamidae,Gray,1840,24,Tinamiformes,,,,,Tinamidae,,,,,,,,,
10,CBRO#0010,Gênero,"Tinamus Hermann, 1783",Tinamus,Hermann,1783,4,Tinamiformes,,,,,Tinamidae,,Tinamus,,,,,,,
11,CBRO#0011,Espécie,"Tinamus tao Temminck, 1815",Tinamus tao,Temminck,1815,2,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,,azulona,Gray Tinamou,BR,,
12,CBRO#0012,Subespécie,"Tinamus tao tao Temminck, 1815",Tinamus tao tao,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,tao,,,,,
13,CBRO#0013,Subespécie,"Tinamus tao kleei (Tschudi, 1843)",Tinamus tao kleei,Tschudi,1843,,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,kleei,,,,"As formas T. t. kleei, T. t. larensis e T. t. tao, que ocorrem principalmente ao sul e a oeste do rio Amazonas, aparentemente intergradam-se; a validade dos táxons T. t. kleei e T. t. larensis (que não ocorre no Brasil) é, portanto, questionável.","Forms T. t. kleei, T. t. larensis and T. t. tao, occurring mainly south and west of the Amazon River, apparently intergrade; thus, the validity of kleei and larensis (extralimital) is questionable."
14,CBRO#0014,Espécie,"Tinamus solitarius (Vieillot, 1819)",Tinamus solitarius,Vieillot,1819,,Tinamiformes,,,,,Tinamidae,,Tinamus,solitarius,,macuco,Solitary Tinamou,BR,,
15,CBRO#0015,Espécie,"Tinamus major (Gmelin, 1789)",Tinamus major,Gmelin,1789,4,Tinamiformes,,,,,Tinamidae,,Tinamus,major,,inhambu-serra,Great Tinamou,BR,,
16,CBRO#0016,Subespécie,"Tinamus major major (Gmelin, 1789)",Tinamus major major,Gmelin,1789,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,major,,,,,
17,CBRO#0017,Subespécie,"Tinamus major serratus (Spix, 1825)",Tinamus major serratus,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,serratus,,,,,
18,CBRO#0018,Subespécie,"Tinamus major olivascens Conover, 1937",Tinamus major olivascens,Conover,1937,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,olivascens,,,,,
19,CBRO#0019,Subespécie,"Tinamus major peruvianus Bonaparte, 1856",Tinamus major peruvianus,Bonaparte,1856,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,peruvianus,,,,,
20,CBRO#0020,Espécie,"Tinamus guttatus Pelzeln, 1863",Tinamus guttatus,Pelzeln,1863,,Tinamiformes,,,,,Tinamidae,,Tinamus,guttatus,,inhambu-galinha,White-throated Tinamou,BR,,
21,CBRO#0021,Gênero,"Crypturellus Brabourne & Chubb, 1914",Crypturellus,Brabourne & Chubb,1914,15,Tinamiformes,,,,,Tinamidae,,Crypturellus,,,,,,,
22,CBRO#0022,Espécie,"Crypturellus cinereus (Gmelin, 1789)",Crypturellus cinereus,Gmelin,1789,,Tinamiformes,,,,,Tinamidae,,Crypturellus,cinereus,,inhambu-pixuna,Cinereous Tinamou,BR,,
23,CBRO#0023,Espécie,"Crypturellus soui (Hermann, 1783)",Crypturellus soui,Hermann,1783,3,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,,tururim,Little Tinamou,BR,,
24,CBRO#0024,Subespécie,"Crypturellus soui soui (Hermann, 1783)",Crypturellus soui soui,Hermann,1783,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,soui,,,,,
25,CBRO#0025,Subespécie,"Crypturellus soui albigularis (Brabourne & Chubb, 1914)",Crypturellus soui albigularis,Brabourne & Chubb,1914,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,albigularis,,,,,
26,CBRO#0026,Subespécie,"Crypturellus soui inconspicuus Carriker, 1935",Crypturellus soui inconspicuus,Carriker,1935,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,inconspicuus,,,,Espécime (MZUSP) do rio Juruá subsequentemente identificado como inconspicuus (Novaes 1957).,Specimen (MZUSP) from Rio Jurua subsequently identified as inconspicuus (Novaes 1957).
27,CBRO#0027,Espécie,"Crypturellus obsoletus (Temminck, 1815)",Crypturellus obsoletus,Temminck,1815,4,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,,inhambuguaçu,Brown Tinamou,BR,,
28,CBRO#4876,Subespécie,Crypturellus obsoletus ssp.,Crypturellus obsoletus ssp.,,,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,ssp.,,,,"Gomes & Silveira (2021) sustentam que os registros do Acre seriam atribuíveis a C. o. punensis, contra Guilherme (2016), que tratou essas populações como C. o. ochraceiventris. Na falta de espécimes ou dados adicionais, a forma que ocorre no sudoeste da Amazônia brasileira é listada aqui como Crypturellus obsoletus ssp.","Gomes and Silveira (2021) suggested that birds from Acre should be assigned to C. o. punensis, contra Guilherme (2016), who treated these populations as C. o. ochraceiventris. In the absence of specimens or additional data, the form occurring in the southwestern Brazilian Amazon is listed here as Crypturellus obsoletus ssp."
29,CBRO#0028,Subespécie,"Crypturellus obsoletus griseiventris (Salvadori, 1895)",Crypturellus obsoletus griseiventris,Salvadori,1895,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,griseiventris,,,,"Gomes & Silveira (2021) demonstram claramente que C. o. hypochraceus é sinônimo de C. o. griseiventris e que este deve ser considerado uma espécie distinta no complexo C. obsoletus. A adoção do tratamento proposto pelo CBRO, entretanto, aguarda uma revisão abrangente de todo o complexo.","Gomes and Silveira (2021) clearly demonstrate that C. o. hypochraceus is a synonym of C. o. griseiventris and that the latter should be considered a distinct species in the C. obsoletus complex. The adoption of this treatment by the CBRO, however, awaits a comprehensive analysis of the entire complex."
30,CBRO#0029,Subespécie,"Crypturellus obsoletus hypochraceus (Miranda-Ribeiro, 1938)",Crypturellus obsoletus hypochraceus,Miranda-Ribeiro,1938,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,hypochraceus,,,,,
31,CBRO#0030,Subespécie,"Crypturellus obsoletus obsoletus (Temminck, 1815)",Crypturellus obsoletus obsoletus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,obsoletus,,,,,
32,CBRO#0031,Espécie,"Crypturellus undulatus (Temminck, 1815)",Crypturellus undulatus,Temminck,1815,5,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,,jaó,Undulated Tinamou,BR,,
33,CBRO#0032,Subespécie,"Crypturellus undulatus simplex (Salvadori, 1895)",Crypturellus undulatus simplex,Salvadori,1895,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,simplex,,,,,
34,CBRO#0033,Subespécie,"Crypturellus undulatus yapura (Spix, 1825)",Crypturellus undulatus yapura,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,yapura,,,,,
35,CBRO#0034,Subespécie,"Crypturellus undulatus adspersus (Temminck, 1815)",Crypturellus undulatus adspersus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,adspersus,,,,,
36,CBRO#0035,Subespécie,"Crypturellus undulatus vermiculatus (Temminck, 1825)",Crypturellus undulatus vermiculatus,Temminck,1825,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,vermiculatus,,,,,
